Date,Open,High,Low,Close,Volume,Adj Close
2007-10-10,53.50,53.50,52.20,52.95,3111100,43.53
2007-10-09,53.00,53.20,52.45,53.00,2876000,43.57
2007-10-08,52.90,53.30,52.30,52.55,2027900,43.20
2007-10-05,52.40,52.95,51.95,52.90,4086200,43.49
2007-10-04,51.90,52.60,51.70,52.15,5191100,42.87
2007-10-03,53.50,53.65,51.40,52.65,7233500,43.29
2007-10-02,53.25,54.10,53.25,53.60,4779100,44.07
2007-10-01,53.60,53.60,53.60,53.60,000,44.07
2007-09-28,54.00,54.15,53.45,53.60,5330600,44.07
2007-09-27,53.85,54.10,53.75,53.85,4557000,44.27
2007-09-26,53.65,53.65,53.65,53.65,000,44.11
2007-09-25,53.60,53.80,53.00,53.65,2739000,44.11
2007-09-24,53.55,54.00,53.05,53.70,4159200,44.15
2007-09-21,53.75,54.30,53.50,53.60,2961300,44.07
2007-09-20,54.00,54.50,53.65,53.65,5054400,44.11
2007-09-19,55.15,55.15,53.55,53.75,4899400,44.19
2007-09-18,54.20,54.20,53.40,53.45,2269800,43.94
2007-09-17,54.35,54.35,53.50,53.70,1853700,44.15
2007-09-14,54.30,54.50,54.10,54.35,2758500,44.68
2007-09-13,54.15,54.65,53.70,54.25,2903700,44.60
2007-09-12,53.90,54.45,53.80,54.15,2697200,44.52
2007-09-11,53.95,54.40,53.45,53.95,2097600,44.35
2007-09-10,53.75,55.00,53.15,53.90,3734500,44.31
2007-09-07,54.80,55.10,54.00,55.05,7772400,45.26
2007-09-06,53.00,54.55,53.00,53.85,6056000,44.27
2007-09-05,53.30,53.80,52.50,53.75,3398500,44.19
2007-09-04,53.25,53.25,52.50,52.50,2859000,43.16
2007-09-03,53.20,53.60,52.80,53.15,4316500,43.70
2007-08-31,54.00,54.50,53.65,53.75,4595500,44.19
2007-08-30,53.30,54.00,53.00,54.00,3055500,44.40
2007-08-29,53.00,53.50,52.65,53.40,2650700,43.90
2007-08-28,53.90,54.35,53.40,53.45,4127900,43.94
2007-08-27,53.80,54.10,53.70,54.05,2782000,44.44
2007-08-24,53.40,53.85,53.15,53.40,2454100,43.90
2007-08-23,53.00,53.50,52.65,53.45,4069300,43.94
2007-08-22,51.80,52.60,51.65,52.50,2616200,43.16
2007-08-21,52.20,53.50,51.00,51.35,4546700,42.22
2007-08-20,51.85,52.45,50.15,52.35,4615900,43.04
2007-08-17,50.35,50.90,48.50,50.25,7002100,41.31
2007-08-16,51.00,51.00,50.05,50.45,6049000,41.48
2007-08-15,51.30,52.00,51.00,51.40,2883600,42.26
2007-08-14,51.30,52.45,50.15,52.00,5416300,42.75
2007-08-13,51.00,51.40,50.70,50.75,1794200,41.72
2007-08-10,50.50,51.45,50.50,50.90,2924500,41.85
2007-08-09,51.95,52.35,51.45,51.50,3420100,42.34
2007-08-08,51.55,51.95,51.40,51.95,3181500,42.71
2007-08-07,51.80,52.05,51.40,51.75,3037100,42.55
2007-08-06,52.00,52.55,51.05,51.55,3388100,42.38
2007-08-03,52.10,53.00,52.10,52.15,3185100,42.87
2007-08-02,52.35,52.60,52.00,52.10,2253200,42.83
2007-08-01,52.55,52.85,52.00,52.35,5379300,43.04
2007-07-31,52.90,53.10,52.60,52.95,4502300,43.53
2007-07-30,52.40,53.45,52.35,52.95,3902200,43.53
2007-07-27,53.65,53.65,52.75,52.80,4957600,43.41
2007-07-26,54.00,54.35,53.50,53.65,3057200,44.11
2007-07-25,53.50,54.20,53.35,54.00,3398200,44.40
2007-07-24,53.70,53.85,53.45,53.55,3701800,44.03
2007-07-23,53.80,53.85,53.00,53.20,4014400,43.74
2007-07-20,53.45,54.00,53.40,53.85,2274300,44.27
2007-07-19,53.00,54.00,52.90,53.60,5661200,44.07
2007-07-18,53.30,53.30,52.45,52.85,3550800,43.45
2007-07-17,53.40,53.45,52.95,53.20,3995200,43.74
2007-07-16,52.50,53.10,52.20,52.65,4372000,43.29
2007-07-13,52.30,52.35,52.05,52.10,5201200,42.83
2007-07-12,52.10,52.60,52.10,52.10,4237000,42.83
2007-07-11,52.70,53.15,52.20,52.25,3270100,42.96
2007-07-10,52.15,52.80,52.15,52.30,4114400,43.00
2007-07-09,52.85,52.90,52.25,52.55,3659200,43.20
2007-07-06,52.70,53.00,52.35,52.75,1810400,43.37
2007-07-05,52.40,52.95,52.05,52.70,2063600,43.33
2007-07-04,52.60,52.60,52.15,52.15,4044600,42.87
2007-07-03,52.10,53.20,52.10,52.55,4427800,43.20
2007-07-02,52.45,52.45,52.45,52.45,000,43.12
2007-06-29,53.15,53.25,52.30,52.45,4141400,43.12
2007-06-28,53.60,54.00,52.65,53.20,3666100,43.74
2007-06-27,52.70,53.25,52.50,53.20,3881200,43.74
2007-06-26,52.45,53.25,52.00,52.90,3844300,43.49
2007-06-25,52.70,52.95,52.00,52.05,3831100,42.79
2007-06-22,52.50,52.90,52.50,52.70,4596400,43.33
